Row Labels,Average of Rating
1924,8.2
1926,8.1
1932,7.8
1938,7.9
1948,7.8
1949,8.1
1954,8.6
1959,8
1960,7.7
1961,8.2
1962,8.166666667
1964,7.85
1967,7.75
1968,7.7
1969,7.9
1971,7.7
1972,7.9
1973,7.75
1974,7.7
1975,8.2
1977,8.6
1978,7.9
1979,7.6
1980,8.3
1981,8
1982,7.833333333
1983,8.3
1984,7.9
1985,8.2
1986,8.3
1987,7.725
1988,8.2
1989,8
1991,8.5
1992,7.75
1993,7.825
1994,8.35
1995,7.6
1997,7.833333333
1998,8.2
1999,8.25
2000,7.98
2001,8.8
2002,7.983333333
2003,8.22
2004,7.84
2005,7.95
2006,7.766666667
2007,7.82
2008,8.1
2009,7.75
2010,8
2011,7.833333333
2012,8.016666667
2013,7.9
2014,7.8625
2015,7.942857143
2016,7.9
2017,7.911111111
2018,8
2019,8.1
Grand Total,7.949418605
