Year,Avg_Duration_Min
2020,126.666666666667
2019,132.130434782609
2018,128.105263157895
2017,121.590909090909
2016,123.642857142857
2015,132.72
2014,126.46875
2013,131.928571428571
2012,135.666666666667
2011,125.5
2010,118.826086956522
2009,123.068965517241
2008,117.857142857143
2007,124.153846153846
2006,124.269230769231
2005,127.117647058824
2004,122.612903225806
2003,124.954545454545
2002,125.315789473684
2001,126.703703703704
2000,119.947368421053
1999,122.0
1998,117.058823529412
1997,120.947368421053
1996,137.2
1995,128.263157894737
1994,116.769230769231
1993,126.260869565217
1992,121.166666666667
1991,121.25
1990,130.0
1989,109.454545454545
1988,116.818181818182
1987,115.083333333333
1986,115.333333333333
1985,121.777777777778
1984,131.666666666667
1983,133.2
1982,128.818181818182
1981,117.25
1980,131.0
1979,114.416666666667
1978,115.142857142857
1977,117.333333333333
1976,133.0
1975,131.444444444444
1974,124.666666666667
1973,116.166666666667
1972,125.125
1971,123.444444444444
1970,143.0
1969,122.666666666667
1968,132.0
1967,110.3
1966,133.428571428571
1965,151.5
1964,119.714285714286
1963,137.0
1962,125.230769230769
1961,127.6
1960,125.0
1959,137.142857142857
1958,117.5
1957,107.111111111111
1956,140.8
1955,107.833333333333
1954,125.5
1953,124.6
1952,115.0
1951,106.2
1950,106.8
1949,108.0
1948,110.5
1947,96.5
1946,125.2
1945,93.5
1944,98.0
1943,108.0
1942,106.333333333333
1941,109.5
1940,116.0
1939,135.0
1938,100.0
1937,113.0
1936,87.0
1935,85.6666666666667
1934,98.0
1933,80.0
1932,78.5
1931,91.3333333333333
1930,152.0
1928,91.0
1927,123.5
1926,67.0
1925,85.0
1924,45.0
1922,94.0
1921,68.0
1920,76.0
